category,title,packsize,price,price_per_unit,image
beauty/,LACURA Skin Science Revitalise Expert Neck & Décolleté Serum 50ml,N/A,10.99,$21.98 per 100ml,https://www.aldi.com.au/fileadmin/_processed_/2/d/csm_ALN2147_Q4_SKIN-CARE_1x1_228x128_12_2d6de1ed9e.jpg
beauty/,LACURA Skin Science Revitalise Expert Eye Cream 15ml,N/A,10.99,$73.27 per 100ml,https://www.aldi.com.au/fileadmin/_processed_/8/4/csm_ALN2147_Q4_SKIN-CARE_1x1_228x128_13_ce5f78dd18.jpg
super-savers/,Essential Health Adult’s Gummies 60pk,60pk,5.99,$9.98 per 100 gummies,https://www.aldi.com.au/fileadmin/_processed_/8/b/csm_ALN3197_FEB_SSV_1x1_228x128_25_6a8cfec149.jpg
super-savers/,Essential Health Children’s Gummies 99.9% Sugar Free 60pk,60pk,5.99,$9.98 per 100 gummies,https://www.aldi.com.au/fileadmin/_processed_/4/6/csm_ALN3197_FEB_SSV_1x1_228x128_26_052f1eb935.jpg
beauty/,LACURA Skin Science Revitalise Day Cream with Soy for Mature Skin 50ml,N/A,7.99,$15.98 per 100ml,https://www.aldi.com.au/fileadmin/_processed_/f/d/csm_ALN2147_Q4_SKIN-CARE_1x1_228x128_6_19bbb35ab4.jpg
beauty/,LACURA Skin Science Revitalise Night Cream with Soy for Mature Skin 50ml,N/A,7.99,$15.98 per 100ml,https://www.aldi.com.au/fileadmin/_processed_/8/8/csm_ALN2147_Q4_SKIN-CARE_1x1_228x128_8_e00377d4f7.jpg
beauty/,LACURA Skin Science Revitalise Multi Intensive Serum for Mature Skin 50ml,N/A,7.99,$15.98 per 100ml,https://www.aldi.com.au/fileadmin/_processed_/1/e/csm_ALN2147_Q4_SKIN-CARE_1x1_228x128_7_34e3505580.jpg
beauty/,LACURA Essentials Revitalise Cleansing Wipes 30pk,N/A,1.69,6c per wipe,https://www.aldi.com.au/fileadmin/_processed_/6/d/csm_ALC7782_THE_BLOCK_1x1_228x128_48_bd33cd66a1.jpg
beauty/,LACURA Naturals Revitalising Facial Foaming Cleanser 150ml ,N/A,5.99,$3.99 per 100ml,https://www.aldi.com.au/fileadmin/_processed_/e/8/csm_ALN1075_SKIN_CARE_UPDATE_1x1_228x128_25_76e9bdcba0.jpg
beauty/,LACURA Naturals Pore Cleansing Clarifying Facial Scrub 150ml ,N/A,5.99,$3.99 per 100ml,https://www.aldi.com.au/fileadmin/_processed_/1/b/csm_ALN1075_SKIN_CARE_UPDATE_1x1_228x128_26_20d4d20ddc.jpg
beauty/,LACURA Naturals Invigorating Exfoliating Facial Scrub 150ml ,N/A,5.99,$3.99 per 100ml,https://www.aldi.com.au/fileadmin/_processed_/7/6/csm_ALN1075_SKIN_CARE_UPDATE_1x1_228x128_27_6a0455746a.jpg
beauty/,LACURA Naturals Anti-Aging Day Cream with Liquorice Extract Oil & Silk Protein 50ml,N/A,7.99,$15.98 per 100ml,https://www.aldi.com.au/fileadmin/_processed_/9/5/csm_ALN1075_SKIN_CARE_UPDATE_1x1_228x128_24_785043bbbe.jpg
beauty/,LACURA Naturals Anti-Aging Night Cream with Rice Bran Oil & Silk Protein 50ml,N/A,7.99,$15.98 per 100ml,https://www.aldi.com.au/fileadmin/_processed_/6/4/csm_ALN1075_SKIN_CARE_UPDATE_1x1_228x128_23_5dcf16da94.jpg
beauty/,LACURA Naturals Anti-Aging Serum with Ginger Extract & Silk Protein 30ml,N/A,7.99,$26.63 per 100ml,https://www.aldi.com.au/fileadmin/_processed_/4/b/csm_ALN1075_SKIN_CARE_UPDATE_1x1_228x128_21_d392e88049.jpg
beauty/,LACURA Naturals Anti-Aging Eye Cream with Tiger Grass & Silk Protein 15ml,N/A,7.99,$53.27 per 100ml,https://www.aldi.com.au/fileadmin/_processed_/8/8/csm_ALN1075_SKIN_CARE_UPDATE_1x1_228x128_22_728b0243c5.jpg
beauty/,LACURA Beauty Long Lasting Duo Lipstick,ea,6.99,N/A,https://www.aldi.com.au/fileadmin/_processed_/d/b/csm_ALN1075_SKIN_CARE_UPDATE_1x1_228x128_18_4e99e30afa.jpg
beauty/,LACURA Beauty Long Lasting Compact Powder 10g,N/A,5.99,$5.99 per 10g,https://www.aldi.com.au/fileadmin/_processed_/a/d/csm_ALN1075_SKIN_CARE_UPDATE_1x1_228x128_19_69f5f9923e.jpg
beauty/,LACURA Beauty Long Lasting Compact Blush 4.5g,N/A,5.99,$13.31 per 10g,https://www.aldi.com.au/fileadmin/_processed_/d/2/csm_ALN1075_SKIN_CARE_UPDATE_1x1_228x128_20_3668aae7b3.jpg
beauty/,LACURA Beauty Foundation with Sunscreen,N/A,4.99,$1.00 per 10ml,https://www.aldi.com.au/fileadmin/_processed_/6/4/csm_ALP0614_WEB_AUDIT_2Q_LACURA_1x1_128x228_7_db9bfbdea3.jpg
beauty/,LACURA Beauty Face Primer 3 in 1,N/A,4.99,$1.00 per 10ml,https://www.aldi.com.au/fileadmin/_processed_/3/e/csm_ALP0614_WEB_AUDIT_2Q_LACURA_1x1_128x228_6_c0b1a8d162.jpg
beauty/,LACURA Beauty 24hr Mascara – Waterproof 11.6ml or Volume 11.9ml,ea $,6.99,$5.87-$6.03 per 10ml,https://www.aldi.com.au/fileadmin/_processed_/5/1/csm_ALP0614_WEB_AUDIT_2Q_LACURA_1x1_128x228_4_1e124933e1.jpg
